                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2643,                 3.9327,                 1.9006,                0.00284,                0.85185,                0.16357,                0.03601,                 2.1191,                 4.6892,                 2.0815,                0.00016,                0.00016,                0.00016
                      2,                 1.3281,                 2.9409,                 1.2555,                0.00559,                0.96296,                0.83861,                0.65422,                0.87355,                 3.2715,                 1.0072,             0.00033663,             0.00033663,             0.00033663
                      3,                0.90602,                 1.7135,                0.97241,                      1,                0.50338,                0.93975,                0.75813,                0.73266,                 3.1214,                 1.0115,              0.0005097,              0.0005097,              0.0005097
                      4,                0.88563,                 1.5564,                 1.0188,                0.90591,                0.71353,                0.84921,                0.66225,                0.91392,                  2.925,                 1.0711,             0.00067921,             0.00067921,             0.00067921
                      5,                0.90502,                  1.347,                0.99758,                0.85627,                 0.7037,                 0.8015,                0.59921,                0.98803,                 2.9357,                 1.1655,             0.00084515,             0.00084515,             0.00084515
                      6,                0.83529,                 1.2256,                0.98871,                 0.8994,                0.66667,                0.77612,                0.55856,                0.99431,                 2.4477,                 1.1459,              0.0010075,              0.0010075,              0.0010075
                      7,                0.81675,                 1.1666,                   1.01,                0.86833,                0.48886,                0.63607,                0.48078,                0.96816,                 3.0248,                 1.0881,              0.0011663,              0.0011663,              0.0011663
                      8,                0.79602,                 1.0696,                0.98751,                0.89748,                0.55556,                0.75504,                0.62315,                0.74443,                  2.098,                 0.9877,              0.0013216,              0.0013216,              0.0013216
                      9,                0.84422,                 1.0805,                0.99036,                      1,                0.75682,                0.90298,                0.66232,                0.88238,                 1.9345,                 1.0407,              0.0014733,              0.0014733,              0.0014733
                     10,                0.77357,                0.98374,                 0.9766,                0.67116,                0.85185,                0.81509,                0.63423,                0.96335,                 1.5937,                 1.1401,              0.0016214,              0.0016214,              0.0016214
                     11,                0.80971,                0.92238,                0.98116,                0.80723,                0.59259,                 0.6701,                0.45406,                 1.0924,                 2.0144,                  1.355,               0.001766,               0.001766,               0.001766
                     12,                0.79466,                 0.9287,                0.99474,                 0.7916,                0.44444,                0.51082,                0.38433,                 1.4413,                 2.2833,                 1.4989,              0.0017822,              0.0017822,              0.0017822
                     13,                0.71279,                 1.8767,                0.86496,                0.95829,                0.85101,                0.88511,                 0.6856,                0.90766,                 1.3508,                 1.0723,              0.0017822,              0.0017822,              0.0017822
                     14,                0.77395,                0.84416,                0.94459,                0.78561,                0.67892,                0.67904,                0.41734,                 1.2674,                 1.7225,                 1.3381,              0.0017624,              0.0017624,              0.0017624
                     15,                 0.7963,                0.78969,                0.94966,                0.95107,                0.72041,                0.82527,                0.62246,                 1.0086,                   1.38,                 1.1546,              0.0017426,              0.0017426,              0.0017426
                     16,                0.78283,                0.78531,                0.96407,                    0.2,                0.03704,                0.09286,                0.03901,                 1.5032,                 46.897,                 1.5037,              0.0017228,              0.0017228,              0.0017228
                     17,                0.78732,                0.72352,                0.97666,                 0.6087,                0.62963,                0.64916,                0.43507,                0.92453,                 4.4578,                 1.0866,               0.001703,               0.001703,               0.001703
                     18,                 0.7281,                0.68371,                0.94979,                0.70408,                0.77778,                0.78199,                0.58302,                 0.8406,                 1.2208,                 1.0103,              0.0016832,              0.0016832,              0.0016832
                     19,                0.71927,                0.63953,                 0.9573,                0.95293,                0.88889,                0.95442,                0.81584,                0.73449,                 1.0023,                0.99956,              0.0016634,              0.0016634,              0.0016634
                     20,                 0.7033,                0.65675,                0.94062,                0.63732,                0.91141,                0.83451,                0.67087,                 0.6897,                 1.3598,                0.93432,              0.0016436,              0.0016436,              0.0016436
                     21,                0.73764,                0.62624,                0.97893,                0.81522,                0.92593,                0.91925,                  0.746,                0.67735,                 1.0717,                0.94183,              0.0016238,              0.0016238,              0.0016238
                     22,                0.65708,                0.58888,                0.91256,                0.89093,                0.96296,                0.98243,                0.79616,                0.64592,                0.82629,                0.94475,               0.001604,               0.001604,               0.001604
                     23,                0.65075,                0.56766,                0.92789,                0.98699,                0.88889,                 0.9746,                0.82386,                0.61625,                 0.7107,                0.91003,              0.0015842,              0.0015842,              0.0015842
                     24,                0.70185,                0.59912,                0.94209,                0.91935,                0.92593,                0.94454,                0.81912,                0.61268,                 0.6778,                0.90386,              0.0015644,              0.0015644,              0.0015644
                     25,                0.67933,                0.56299,                0.93923,                0.96168,                      1,                 0.9925,                 0.8438,                0.64031,                0.55392,                0.93416,              0.0015446,              0.0015446,              0.0015446
                     26,                 0.6695,                0.53587,                0.92926,                0.99742,                0.96296,                0.99293,                0.87386,                0.56857,                0.59176,                0.91236,              0.0015248,              0.0015248,              0.0015248
                     27,                0.67303,                0.55377,                0.91787,                0.97586,                0.96296,                  0.992,                0.85066,                0.59974,                0.70956,                0.90081,               0.001505,               0.001505,               0.001505
                     28,                0.62645,                0.53646,                0.89245,                      1,                0.91393,                0.97886,                0.79834,                0.63049,                0.66457,                 0.9255,              0.0014852,              0.0014852,              0.0014852
                     29,                0.67779,                0.54863,                0.91893,                0.95845,                      1,                  0.995,                0.84904,                0.60053,                0.54697,                0.90209,              0.0014654,              0.0014654,              0.0014654
                     30,                0.67458,                0.53781,                0.90622,                0.95698,                0.92593,                0.97646,                 0.7982,                0.71886,                0.56187,                0.95393,              0.0014456,              0.0014456,              0.0014456
                     31,                0.67121,                0.54278,                0.92729,                0.95257,                0.92593,                 0.9551,                 0.8305,                0.63007,                0.53553,                0.92594,              0.0014258,              0.0014258,              0.0014258
                     32,                0.62704,                0.49922,                0.89806,                0.95968,                      1,                 0.9925,                 0.8666,                0.58013,                0.45686,                 0.9087,               0.001406,               0.001406,               0.001406
                     33,                 0.6142,                 0.5195,                0.91415,                0.96203,                      1,                0.97143,                0.81805,                0.65085,                0.50941,                0.92705,              0.0013862,              0.0013862,              0.0013862
                     34,                0.65613,                0.50191,                 0.9027,                0.96052,                      1,                0.99393,                0.89437,                0.53819,                0.42743,                 0.8918,              0.0013664,              0.0013664,              0.0013664
                     35,                0.61011,                0.48031,                0.90649,                 0.9857,                0.92593,                0.98429,                0.86459,                0.55528,                 0.4556,                0.90216,              0.0013466,              0.0013466,              0.0013466
                     36,                0.61028,                0.47057,                 0.9134,                 0.9918,                0.92593,                0.96356,                0.84792,                0.59238,                0.47406,                0.93684,              0.0013268,              0.0013268,              0.0013268
                     37,                0.58811,                 0.4705,                0.91087,                      1,                0.95605,                0.96535,                0.85038,                0.59731,                0.43288,                0.90458,               0.001307,               0.001307,               0.001307
                     38,                0.58751,                0.47959,                0.90842,                      1,                0.96125,                0.99113,                0.86281,                0.57594,                 0.4185,                0.87952,              0.0012872,              0.0012872,              0.0012872
                     39,                0.59217,                0.49351,                0.91762,                0.92997,                      1,                 0.9925,                0.86772,                0.59511,                0.44424,                0.92072,              0.0012674,              0.0012674,              0.0012674
                     40,                0.57787,                0.45595,                0.91998,                0.99525,                0.96296,                0.99393,                0.86319,                0.62048,                 0.4361,                0.91472,              0.0012476,              0.0012476,              0.0012476
                     41,                0.62983,                0.51659,                0.94845,                0.96399,                      1,                 0.9925,                0.88903,                0.51986,                0.39995,                0.88401,              0.0012278,              0.0012278,              0.0012278
                     42,                0.57323,                0.44025,                0.90254,                0.96413,                0.99574,                0.99107,                0.88021,                0.53398,                0.39472,                0.89247,               0.001208,               0.001208,               0.001208
                     43,                0.58391,                0.46305,                0.89273,                 0.9641,                      1,                0.98179,                0.87022,                 0.5142,                0.36885,                0.87675,              0.0011882,              0.0011882,              0.0011882
                     44,                0.55028,                 0.4166,                0.87064,                      1,                0.99574,                  0.995,                0.86916,                 0.5439,                0.37291,                 0.8741,              0.0011684,              0.0011684,              0.0011684
                     45,                0.56845,                0.46407,                0.91465,                      1,                0.95834,                0.99393,                0.89498,                 0.5034,                0.38037,                0.87072,              0.0011486,              0.0011486,              0.0011486
                     46,                0.53458,                0.42931,                0.88911,                0.98929,                0.96296,                0.99393,                0.90596,                0.47126,                0.37335,                0.86935,              0.0011288,              0.0011288,              0.0011288
                     47,                0.57434,                0.41811,                0.89575,                0.99752,                      1,                  0.995,                 0.9045,                0.46788,                0.34069,                0.86192,               0.001109,               0.001109,               0.001109
                     48,                0.55088,                0.42649,                0.91839,                0.99725,                      1,                  0.995,                0.89834,                0.47937,                0.31928,                0.86034,              0.0010892,              0.0010892,              0.0010892
                     49,                0.50491,                0.38828,                0.86756,                0.99636,                      1,                  0.995,                0.91141,                0.46028,                0.33161,                0.85868,              0.0010694,              0.0010694,              0.0010694
                     50,                0.51759,                0.38573,                0.87246,                0.99668,                      1,                  0.995,                0.87659,                0.54639,                0.35656,                0.87807,              0.0010496,              0.0010496,              0.0010496
                     51,                0.52407,                0.40493,                0.88628,                0.99541,                      1,                  0.995,                0.88987,                0.49033,                0.33866,                0.86591,              0.0010298,              0.0010298,              0.0010298
                     52,                0.53047,                0.41783,                 0.8972,                      1,                0.99973,                  0.995,                0.89069,                0.50409,                0.33888,                0.86573,                0.00101,                0.00101,                0.00101
                     53,                0.50842,                0.39987,                0.89756,                0.99865,                      1,                  0.995,                0.91378,                0.47191,                0.30951,                0.84967,              0.0009902,              0.0009902,              0.0009902
                     54,                0.48172,                0.39095,                0.87587,                      1,                0.99741,                  0.995,                0.88399,                0.50751,                0.34899,                0.89405,              0.0009704,              0.0009704,              0.0009704
                     55,                 0.5064,                0.41125,                0.89126,                      1,                0.99789,                  0.995,                0.88418,                0.50753,                0.32336,                0.91176,              0.0009506,              0.0009506,              0.0009506
                     56,                0.48995,                0.36858,                0.86634,                0.99738,                      1,                  0.995,                0.89916,                0.51221,                0.30961,                0.87568,              0.0009308,              0.0009308,              0.0009308
                     57,                0.51565,                0.39115,                0.88038,                0.99744,                0.96296,                0.99393,                0.87884,                0.50863,                0.33753,                0.87286,               0.000911,               0.000911,               0.000911
                     58,                0.47987,                0.38652,                0.87469,                      1,                0.99727,                  0.995,                0.87293,                0.54438,                0.34669,                0.87333,              0.0008912,              0.0008912,              0.0008912
                     59,                0.50209,                0.37741,                0.88203,                      1,                0.99916,                  0.995,                0.88725,                0.52294,                0.31343,                0.86779,              0.0008714,              0.0008714,              0.0008714
                     60,                0.44871,                0.34344,                0.86769,                      1,                0.99958,                  0.995,                0.88082,                0.49909,                0.32475,                 0.8747,              0.0008516,              0.0008516,              0.0008516
                     61,                 0.4569,                0.35325,                 0.8554,                0.95829,                      1,                0.99393,                0.88209,                0.47194,                0.30915,                0.85862,              0.0008318,              0.0008318,              0.0008318
                     62,                0.46541,                0.34962,                0.87221,                0.99766,                      1,                  0.995,                0.92395,                0.45791,                0.30709,                0.84446,               0.000812,               0.000812,               0.000812
                     63,                0.45897,                0.35596,                0.87383,                0.99799,                      1,                  0.995,                0.91063,                0.44599,                0.29428,                0.83747,              0.0007922,              0.0007922,              0.0007922
                     64,                0.46713,                0.35254,                0.87037,                      1,                0.99904,                  0.995,                0.89589,                0.49448,                 0.3019,                0.85347,              0.0007724,              0.0007724,              0.0007724
                     65,                 0.5652,                0.40011,                 0.9302,                0.99898,                      1,                  0.995,                 0.8952,                0.48968,                0.29138,                 0.8506,              0.0007526,              0.0007526,              0.0007526
                     66,                0.44605,                0.33556,                0.85404,                0.99808,                      1,                  0.995,                0.91153,                0.46877,                0.27995,                0.85296,              0.0007328,              0.0007328,              0.0007328
                     67,                0.43825,                0.34677,                0.86154,                0.99933,                      1,                  0.995,                0.89718,                0.45374,                0.27175,                0.84525,               0.000713,               0.000713,               0.000713
                     68,                0.45064,                0.35498,                0.85386,                      1,                 0.9974,                  0.995,                0.90699,                0.47976,                0.31433,                0.85538,              0.0006932,              0.0006932,              0.0006932
                     69,                0.42111,                0.32987,                0.86342,                      1,                0.99392,                  0.995,                0.90276,                0.45328,                 0.3022,                0.85234,              0.0006734,              0.0006734,              0.0006734
                     70,                0.39294,                0.32586,                0.85666,                0.99891,                      1,                  0.995,                0.90189,                0.44242,                0.28891,                0.84371,              0.0006536,              0.0006536,              0.0006536
                     71,                0.44517,                0.33396,                0.83745,                      1,                 0.9987,                  0.995,                0.89657,                0.46973,                0.27434,                0.84957,              0.0006338,              0.0006338,              0.0006338
                     72,                0.41176,                0.32266,                0.86157,                0.99987,                      1,                  0.995,                 0.9131,                0.45741,                0.27823,                0.84404,               0.000614,               0.000614,               0.000614
                     73,                0.44005,                0.32698,                 0.8676,                 0.9992,                      1,                  0.995,                0.90991,                 0.4706,                0.27863,                0.85991,              0.0005942,              0.0005942,              0.0005942
                     74,                0.44981,                0.34636,                0.86604,                0.99784,                      1,                  0.995,                0.90201,                0.49316,                0.27462,                0.86156,              0.0005744,              0.0005744,              0.0005744
                     75,                0.43302,                0.32665,                0.86327,                      1,                0.99124,                  0.995,                0.89606,                0.47869,                0.29633,                0.85809,              0.0005546,              0.0005546,              0.0005546
                     76,                0.40451,                0.34003,                 0.8654,                 0.9628,                      1,                0.99393,                0.91208,                0.45299,                0.28487,                 0.8441,              0.0005348,              0.0005348,              0.0005348
                     77,                0.41338,                0.31818,                0.86329,                      1,                0.99943,                  0.995,                 0.8803,                0.53477,                0.27865,                0.86221,               0.000515,               0.000515,               0.000515
                     78,                 0.3692,                0.30354,                0.83833,                0.99894,                      1,                  0.995,                0.87916,                0.50846,                0.27654,                0.86331,              0.0004952,              0.0004952,              0.0004952
                     79,                0.42613,                0.32501,                0.86182,                 0.9984,                      1,                  0.995,                0.88808,                0.51775,                0.27875,                0.86513,              0.0004754,              0.0004754,              0.0004754
                     80,                0.36553,                0.39552,                0.87167,                0.99817,                      1,                  0.995,                0.89678,                0.48139,                0.27977,                0.85159,              0.0004556,              0.0004556,              0.0004556
                     81,                0.40532,                 0.3112,                0.87606,                0.99824,                      1,                  0.995,                0.90782,                0.46034,                0.26438,                0.84131,              0.0004358,              0.0004358,              0.0004358
                     82,                0.36235,                0.28996,                0.84662,                0.99818,                      1,                  0.995,                0.89946,                0.45879,                0.27365,                0.84414,               0.000416,               0.000416,               0.000416
                     83,                0.35481,                0.29037,                0.84965,                0.99778,                      1,                  0.995,                0.90995,                0.45269,                0.28043,                0.84416,              0.0003962,              0.0003962,              0.0003962
                     84,                0.43032,                0.32552,                0.89013,                0.99749,                      1,                  0.995,                0.90712,                0.45581,                0.26523,                0.84552,              0.0003764,              0.0003764,              0.0003764
                     85,                0.35912,                0.30087,                0.87359,                 0.9974,                      1,                  0.995,                0.92008,                0.46008,                0.26434,                0.84522,              0.0003566,              0.0003566,              0.0003566
                     86,                0.39502,                0.32422,                0.84148,                0.99797,                      1,                  0.995,                0.91314,                 0.4362,                  0.245,                0.83915,              0.0003368,              0.0003368,              0.0003368
                     87,                 0.3772,                0.28973,                 0.8471,                0.99796,                      1,                  0.995,                 0.9159,                0.43565,                0.25728,                0.83868,               0.000317,               0.000317,               0.000317
                     88,                0.33727,                0.27523,                0.84552,                0.99799,                      1,                  0.995,                 0.9133,                0.43081,                0.24575,                0.83862,              0.0002972,              0.0002972,              0.0002972
                     89,                0.31921,                 0.2641,                0.83973,                0.99812,                      1,                  0.995,                0.90391,                0.43207,                0.24064,                0.84147,              0.0002774,              0.0002774,              0.0002774
                     90,                0.35459,                0.28204,                0.84152,                0.99828,                      1,                  0.995,                0.91447,                0.42457,                0.24091,                0.83996,              0.0002576,              0.0002576,              0.0002576
                     91,                0.33804,                0.26926,                0.79331,                0.99829,                      1,                  0.995,                0.90392,                0.44885,                0.23906,                0.84652,              0.0002378,              0.0002378,              0.0002378
                     92,                0.29627,                0.23858,                0.78985,                0.99824,                      1,                  0.995,                0.90114,                0.44722,                 0.2428,                 0.8504,               0.000218,               0.000218,               0.000218
                     93,                0.28416,                0.24495,                0.77731,                0.99817,                      1,                  0.995,                0.91485,                0.43723,                0.25256,                0.84512,              0.0001982,              0.0001982,              0.0001982
                     94,                0.28087,                0.23568,                0.78886,                0.99806,                      1,                  0.995,                0.90476,                0.44504,                0.25062,                 0.8482,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.2594,                0.20891,                0.78024,                0.99808,                      1,                  0.995,                0.90447,                0.44467,                0.23907,                0.84322,              0.0001586,              0.0001586,              0.0001586
                     96,                0.26714,                0.23803,                0.77902,                0.99813,                      1,                  0.995,                0.90331,                 0.4374,                0.24456,                 0.8411,              0.0001388,              0.0001388,              0.0001388
                     97,                0.28821,                0.23149,                0.79042,                0.99816,                      1,                  0.995,                0.89805,                0.43967,                0.23833,                0.84142,               0.000119,               0.000119,               0.000119
                     98,                0.28739,                 0.2169,                0.78338,                0.99818,                      1,                  0.995,                0.89605,                0.44549,                0.23481,                0.84101,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.25457,                0.20966,                0.77463,                0.99813,                      1,                  0.995,                0.89126,                0.44998,                0.23367,                0.84183,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.24006,                 0.2401,                 0.7863,                0.99818,                      1,                  0.995,                0.90566,                0.45389,                0.22802,                0.84314,               5.96e-05,               5.96e-05,               5.96e-05
